Review ID,Review
1,เป็นร้านที่ส่วนมากจะเจอนักท่องเที่ยวลากกระเป๋ามาแวะทานเครื่องดื่ม​ กาแฟดีลาเต้กลมกล่อมหวานกำลังดี​ ราคาไม่แพงขนาดขายกับต่างชาติเป็นหลัก พนง.ให้บริการใส่ใจกับลูกค้าทุกสัญชาติ​ ร้านมีที่ร้านเยอะ​ มีชั้น2 ด้วย​ จริงๆอยากแวะหลายครั้งแล้วแต่จอดรถไม่ได้​ คราวนี้จอดที่ห้างเซ็นจูรี่แล้วเดินมา​ ถือว่าคุ้ม ร้านนี้อยู่ซอยรางน้ำ​ ติดกับห้างเซนจูรี่​ เยื้องๆกับคิงพาวเวอร์​ไม่มีที่จอดรถ 
2,ก่อนหน้านี้ได้มีโอกาสไปที่ OASIS COFFEE สาขาห้วยขวางมาแล้วประทับใจมาก เลยอยากลองมาสาขาอื่นด้วยแล้วเพื่อนอยากนัดเจอพอดี จึงเสนอร้านนี้ (สาขารางน้ำ) เรื่องบรรยากาศร้านอาจจะไม่ได้ร่มรื่นเท่าสาขาห้วยขวาง (ไม่มีโซนสวนแต่โซน outdoor จะเป็นที่นั่งหน้าร้าน วิวถนนรางน้ำแทน) แต่ก็ยังมี mood & tone คล้ายคลึงคือมีกลิ่นอายความเป็นตะวันตก เบาะหนัง พื้นไม้แท้ แบบเดียวกัน ภายในคนส่วนมากที่มาในชั้น 1 จะเป็นคนต่างชาติซะเยอะค่ะ นั่งจิบกาแฟคุยกันชิว ๆ แต่ในชั้น 2 จะเป็นคนไทยต่างจากสาขาห้วยขวางที่เงียบ; สาขานี้จะคนเยอะหน่อย ออกแนวมาประชุมกันเลยส่งผลให้เสียงค่อนข้างดังค่ะ เหมือนมาทำงานนอกบริษัทกัน คุยกันทักทายเหมือนอยู่ออฟฟิศเลย เราจะมาทำงานเลยเกร็ง ๆ แต่ข้อดีคือมีที่ชาร์จแบตให้เยอะพอสมควร
3,คาเฟ่ดีที่ซอยรางน้ำ ติดกับ Century The Movie Plaza บรรยากาศในร้านได้ฟิลหลบหนีความวุ่นวายภายนอกจากซอยรางน้ำ เหมาะกับความตั้งใจของร้านให้ได้ take some rest มีลูกค้าเข้ามาแล้วขอนอนงีบยังมี ที่นั่งร้านเยอะ มีไวไฟ มีปลั๊ก เปิดเพลงเบาๆ กาแฟอร่อยด้วย มีน้ำเปล่าฟรีบริการ เบเกอร์รี่ก็มีขาย เราสั่ง Cafe Latte กาแฟอร่อยเข้ากับนมสด และปริมาณคุ้ม แนะนำค่ะ เป็นอีกหนึ่งร้านกาแฟ ที่เหมาะมาพักร่าง นัั่งเคลียร์งาน ทานกาแฟดีๆค่ะ
4,เป็นคาเฟ่ที่เหล่าผู้คนเน้นมานั่งทำงานค่ะ บรรยากาศแบบว่าแม้คนจะเยอะก็ยังเงียบมาก ไร้มลภาวะทางเสียง คือถูกจริตเราเลย เมนูเครื่องดื่มก็เยอะมาก ลอง Cream Brulee Frappe หอมครีมบูเล่เบาๆ รสชาติกลมกล่อม นัวๆ อร่อยค่าาา
5,มากันที่ซ.รางน้ำ ร้านนี้ไม่ไกล อยู่หลัง century นี่เองค่ะ บรรยากาศแนวสตาร์บัค แต่น้ำส้มสดชื่นมาก หวานกำลังดี มานั่งพักนั่งดื่มอะไรเย็นๆ หาเล่น WiFi ทำงาน หรือดูหนังฟังเพลงดีประหยัดแอร์ที่บ้านไปอีก 1 วัน
6,ร้านอยู่ในซอยรางน้ำครับ พญาไท จอดรถริมถนนแถวหน้าร้านได้บางจุด พนีกงานบริการโอเค ร้านกว้างและใหญ่ มี 2 ชั้น นั่งสบายด้วยครับ แต่มีข้อเสียคือร้านเหม็นอับครับ ไม่แน่ใจว่ามาจากโซฟาหรืออะไร เป็นทั้งชั้น 1 และชั้น 2 เลย
7,เครื่องดื่มร้านราคาไม่เบา แต่ 1 บิล นั่งได้ 4 ชม. มี wifi ให้พร้อม สั่งหวานมาก หวานน้อย บาริสต้าจัดได้หมด พนักงานเลยมาร้านนี้พอสมควร มักเป็นแหล่งรวมนัดประชุม ติวหนังสือ ทำงานหรืออ่านหนังสือยาวๆไป
8,ให้ 5 ดาวไปเลย สำหรับนักอ่านหนังสือ นักทำรายงาน ที่อยู่ใกล้ๆแถวนี้ เครื่องดื่มราคาสูงนะ แก้วละร้อยกว่า แต่นักอ่านหนังสือ นักติวหนังสือ นั่งได้ยาวทั้งวันตั้งแต่ 7โมงเช้า ถึงดึกดื่น ชาร์ตแบตโทรศัพท์ ipad ได้เต็มที่เลย หันไปทางไหน ใครๆเค้าก็อ่านหนังสือเป็นเพื่อนเรา คนแน่นร้านตลอด เครื่องดื่มเข้มข้น ขนมอร่อย(มีตัวเลือกไม่เยอะมาก) ที่นั่งดี มีไวไฟ บิลละ 4 ชม. ร้านกว้างขวางมี 2 ชั้นนะคะ
9,อยู่ในซอยรางน้ำ ใกล้ๆbts อนุสาวรีย์ มีสองชั้น คนนิยมนั่งกันบนชั้นสอง เป็นร้านที่เหมาะแก่การนั่งนานๆ เช่น ติว/อ่านหนังสือ คุยงาน สั่งมอคค่าเย็น อร่อยใช้ได้ กับสั่งชาร้อนใส่กา สามารถเติมน้ำร้อนเรื่อยๆ(ฟรี) ราคาแอบแพง แต่เมื่อดูจากย่านกับสภาพร้านที่สามารถนั่งได้นานก็พอเข้าใจ
10,"ร้านกาแฟเยื้องคิงพาวเวอร์รางน้ำ ถ้าคุณมองหาร้านนั่งแห่ง รอเพื่อน workspace บลาๆ แถวอนุเสาวรีย์ร่านนี้ดี กาแฟโอเคระดับนึง เราถามว่าติด้ปรี้ยวไหม ก็ตัวเปรี้ยวน้อยสุดยังมีติดหน่อยๆ เลยขอกาแฟนมมา Piccolo Latte 90 บาท โอเคเฉย เป็นเบลนด์คั่วกลาง house blend ของทางร้าน ไทย บราซิล อินโดนีเซีย กัวเตมาลา ซึ่งเป็นเบลนด์ที่ชนะการประกวด espresso ในงาน international coffee tasting 2012, Italy ออกมาดีอ่ะ ถ้าเบื่อกาแฟโทนอเมริกัน แนวเบลนด์โทนอิตาลี มาร้านนี้ ใช้ได้เลย เหมือนกินร้านกาแฟร้านทั่วไปในอิตาลี"
11,ร้านกาแฟต้นซอยรางน้ำ อยู่หลังเซ็นจูรี่มอลล์ ขนาด 4 คูหา ด้านในตกแต่งคล้ายร้านกาแฟชื่อดัง ทุกโต๊ะมีปลั๊กให้เสียบสำหรับนั่งทำงานหรืออ่านหนังสือยาวๆ มีพื้นที่ถึง 2 ชั้น รวมถึงส่วนที่นั่งสูบบุหรี่ด้านนอก ห้องน้ำสะอาด เบเกอรี่น่าทาน ส่วนเครื่องดื่มมีหลายเมนู free wifi 2 ชั่วโมง
